DATE,ATM,Cash
2010-05-01,ATM1,85.20162068030817
2010-05-02,ATM1,96.12702283776429
2010-05-03,ATM1,75.07158254339929
2010-05-04,ATM1,3.441038391201496
2010-05-05,ATM1,98.79994388456609
2010-05-06,ATM1,77.53461443168888
2010-05-07,ATM1,83.79457638226147
2010-05-08,ATM1,84.8567853312145
2010-05-09,ATM1,95.89753135491924
2010-05-10,ATM1,77.66053040964847
2010-05-11,ATM1,3.485775936074365
2010-05-12,ATM1,98.25144881905062
2010-05-13,ATM1,76.70703635252136
2010-05-14,ATM1,84.43258017386641
2010-05-15,ATM1,84.99195397629057
2010-05-16,ATM1,98.94918162751651
2010-05-17,ATM1,76.01993644370008
2010-05-18,ATM1,3.5889385849190694
2010-05-19,ATM1,97.87499870903724
2010-05-20,ATM1,78.18049158439354
2010-05-21,ATM1,84.37845974978909
2010-05-22,ATM1,85.00178323741808
2010-05-23,ATM1,97.37521429683478
2010-05-24,ATM1,76.27283084123864
2010-05-25,ATM1,3.5231465711486214
2010-05-26,ATM1,98.2040776207156
2010-05-27,ATM1,77.59245308512276
2010-05-28,ATM1,84.25582956684012
2010-05-29,ATM1,84.96455103297377
2010-05-30,ATM1,97.48305989722414
2010-05-31,ATM1,76.52489867211263
2010-05-01,ATM2,74.13803132623171
2010-05-02,ATM2,71.67527693985718
2010-05-03,ATM2,11.933036000059092
2010-05-04,ATM2,1.4201128055441785
2010-05-05,ATM2,102.57867365877875
2010-05-06,ATM2,97.20705463404083
2010-05-07,ATM2,68.55049190443744
2010-05-08,ATM2,70.90672204593622
2010-05-09,ATM2,75.26197683151338
2010-05-10,ATM2,11.747047465261367
2010-05-11,ATM2,1.560474135106457
2010-05-12,ATM2,103.8415945388334
2010-05-13,ATM2,94.97505752152188
2010-05-14,ATM2,72.13413006876392
2010-05-15,ATM2,70.43603105674693
2010-05-16,ATM2,76.13691229217928
2010-05-17,ATM2,11.691194489386996
2010-05-18,ATM2,1.577259568368278
2010-05-19,ATM2,103.88491521192277
2010-05-20,ATM2,94.81436009527964
2010-05-21,ATM2,73.6713300547769
2010-05-22,ATM2,71.24116295965962
2010-05-23,ATM2,75.03876754627674
2010-05-24,ATM2,11.753633741742636
2010-05-25,ATM2,1.54386991551604
2010-05-26,ATM2,103.64674539158825
2010-05-27,ATM2,95.28035852809182
2010-05-28,ATM2,72.20393881278247
2010-05-29,ATM2,70.87306435564803
2010-05-30,ATM2,75.50054300362537
2010-05-31,ATM2,11.72837269554443
2010-05-01,ATM3,0.7205479452054795
2010-05-02,ATM3,0.7205479452054795
2010-05-03,ATM3,0.7205479452054795
2010-05-04,ATM3,0.7205479452054795
2010-05-05,ATM3,0.7205479452054795
2010-05-06,ATM3,0.7205479452054795
2010-05-07,ATM3,0.7205479452054795
2010-05-08,ATM3,0.7205479452054795
2010-05-09,ATM3,0.7205479452054795
2010-05-10,ATM3,0.7205479452054795
2010-05-11,ATM3,0.7205479452054795
2010-05-12,ATM3,0.7205479452054795
2010-05-13,ATM3,0.7205479452054795
2010-05-14,ATM3,0.7205479452054795
2010-05-15,ATM3,0.7205479452054795
2010-05-16,ATM3,0.7205479452054795
2010-05-17,ATM3,0.7205479452054795
2010-05-18,ATM3,0.7205479452054795
2010-05-19,ATM3,0.7205479452054795
2010-05-20,ATM3,0.7205479452054795
2010-05-21,ATM3,0.7205479452054795
2010-05-22,ATM3,0.7205479452054795
2010-05-23,ATM3,0.7205479452054795
2010-05-24,ATM3,0.7205479452054795
2010-05-25,ATM3,0.7205479452054795
2010-05-26,ATM3,0.7205479452054795
2010-05-27,ATM3,0.7205479452054795
2010-05-28,ATM3,0.7205479452054795
2010-05-29,ATM3,0.7205479452054795
2010-05-30,ATM3,0.7205479452054795
2010-05-31,ATM3,0.7205479452054795
2010-05-01,ATM4,235.37537723469845
2010-05-02,ATM4,235.37537723469845
2010-05-03,ATM4,235.37537723469845
2010-05-04,ATM4,235.37537723469845
2010-05-05,ATM4,235.37537723469845
2010-05-06,ATM4,235.37537723469845
2010-05-07,ATM4,235.37537723469845
2010-05-08,ATM4,235.37537723469845
2010-05-09,ATM4,235.37537723469845
2010-05-10,ATM4,235.37537723469845
2010-05-11,ATM4,235.37537723469845
2010-05-12,ATM4,235.37537723469845
2010-05-13,ATM4,235.37537723469845
2010-05-14,ATM4,235.37537723469845
2010-05-15,ATM4,235.37537723469845
2010-05-16,ATM4,235.37537723469845
2010-05-17,ATM4,235.37537723469845
2010-05-18,ATM4,235.37537723469845
2010-05-19,ATM4,235.37537723469845
2010-05-20,ATM4,235.37537723469845
2010-05-21,ATM4,235.37537723469845
2010-05-22,ATM4,235.37537723469845
2010-05-23,ATM4,235.37537723469845
2010-05-24,ATM4,235.37537723469845
2010-05-25,ATM4,235.37537723469845
2010-05-26,ATM4,235.37537723469845
2010-05-27,ATM4,235.37537723469845
2010-05-28,ATM4,235.37537723469845
2010-05-29,ATM4,235.37537723469845
2010-05-30,ATM4,235.37537723469845
2010-05-31,ATM4,235.37537723469845
